place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Kathedral-Kirken	Kathedral-Kirken	domkirken er formodentlig grundlagt i 1000-tallet, men er genopbygget i 1300-talet og flere gange siden.	1842	1842	14	En Digters Bazar	357	1	v14:357 (1842)	high	head-noun+place-type	
Kazan	Kazan	flodpas mellem Donji Milanovac og Orsova.	1842	1842	14	En Digters Bazar	536	1	v14:536 (1842)	high	in-register+located	geo-682504
Kedron	Kedron(s)	dal og bæk mellem Jerusalem og Oliebjerget. Jesus gik over Kedrons bæk til sine lidelser, jf. Johannes 18,1.			12	AhasverusDen evige Jøde, Jerusalems Skomager, skikkelse fra et middelalderligt sagn, ofte behandlet i dansk litteratur på H.C. Andersens tid. If. sagnet slog Ahasverus Jesus, da denne var på vej til korsfæstelsen på Golgathabjerget; derfor må han vandre fredløs om i verden til evig tid uden at kunne dø. En dansk bearbejdelse, 1607, af en tysk folkebog om Ahasverus fra 1602 er gået tabt; en dansk udgave fra 1631 er bevaret. En almuevise om Ahasverus stammer formentlig fra 1700-tallets første del.Ahasverus	250	1	v12:250 ()	high	head-noun+located+place-type	
Kefisos	Cephisus	Kefisos, flod på sletten vest og nord for Athen; se kort.	1842	1842	14	En Digters Bazar	399	1	v14:399 (1842)	high	se-kort+located+place-type	
Kehlets … Rosenlund	Kehlets … Rosenlund	et traktørsted, som R.T. Kehlet åbnede på Værnedamsvej 5 i 1829, hed Rosenlund; stedet havde sin storhedstid i 1830’erne.	1840	1840	11	En Comedie i det Grønne	405	1	v11:405 (1840)	medium	located	
Keiserborgen	Keiserborgen	de romerske kejseres paladsbygninger på Palatinerhøjen, påbegyndt af kejser Augustus, egl. Gajus Julius Caesar Octavian (63 f.Kr.-14 e.Kr., kejser fra 27 f.Kr.).	1842	1842	14	En Digters Bazar	327	1	v14:327 (1842)	medium	located	
Kenilworth	Kenilworth	engelsk by sydøst for Birmingham med ruiner af Kenilworth Slot.	1774	1774	8 11	Festen paa Kenilworthengelsk by sydøst for Birmingham med ruiner af Kenilworth Slot.Kenilworth	11	4	v11:11 (1774); v8:100 (); v8:120 (); v11:113 ()	medium	located+place-type	
Kephissia	Kephissia	landsby, nu forstad til Athen (ca. 4 km fra Marusi).	1842	1842	14	En Digters Bazar	405	1	v14:405 (1842)	high	head-noun+located+place-type	
Kiel	Kiel	se kort.	1842	1842	14	En Digters Bazar	219	1	v14:219 (1842)	high	se-kort	
Kielerfjord … er lagt	Kielerfjord … er lagt	Jens Baggesen er begravet på Skt. Jørgens kirkegård i Kiel.	1859	1859	2	Et Stykke Perlesnor	282	1	v2:282 (1859)	medium	located	
Kilden	Kilden	kan ikke bestemmes med sikkerhed, da der ligger en række kilder tæt ved Odense.	1832	1832	16	Levnedsbog	59	1	v16:59 (1832)	medium	located	
Kinne-Kleva	Kleven	Kinne-Kleva; se kort 2.	1851	1851	15	I Sverrig	26	1	v15:26 (1851)	high	se-kort	
Kinnekulle	Kinnekulle	se kort 2.	1851	1851	15	I Sverrig	24	1	v15:24 (1851)	high	se-kort	
Kinnekulle … Hamilton	Kinnekulle … Hamilton(s)	30. juli 1849 ankom H.C. Andersen til grev Hugo David Hamiltons gods på Hönsäter ved Venerns østkyst, 31. juli besøgtes bjerget Kinnekulle og 1. august fortsatte H.C. Andersen videre til grev Hamiltons søn, Adolf Ludvig Hamilton, på Blomberg, som var gift med historikeren Erik Gustaf Geijers datter, Agnes. Den 2. august fortsatte han fra Hellekis med damperen til Venersborg.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	104	1	v18:104 (1869)	medium	located+place-type	
Kirke	Circe(s) | Kirke	Kirke, troldkvinde i Odysseens 10. sang, der forvandlede Odysseus’ (Ulysses’) mænd til svin. ¶ Lima kyrka; stenkirke fra middelalderen, der nedbrændte i 1852.	1835	1835 1851	4 15	Improvisatoren	200	2	v4:200 (1835); v15:94 (1851)	high	head-noun+located+place-type	
Kirke for Sanct Nicolai	Kirke for Sanct Nicolai	jf. L.J. Flamand, s. 4: »Kjøbmændene havde lige ude ved Stranden deres egen lille Kirke, hvor de skyndte sig hen, saasnart de naaede Land; (...) den blev kaldet Nicolaikirke efter den hellige Nicolaus, der ansaaes for Skippernes Helgen«.	1868	1868	3	Gudfaders Billedbog	172	1	v3:172 (1868)	medium	located	
Kirke under Bygning	Kirke under Bygning	katedralen, bygget 1822-1869 med Peterskirken i Rom som forbillede.	1842	1842	14	En Digters Bazar	560	1	v14:560 (1842)	high	head-noun+place-type	
Kirkegaard	Kirkegaard(s)	Nikolai Kirkegård i København (senere sløjfet).	1836	1836	4	O. T.	370	1	v4:370 (1836)	medium	located+place-type	
Kirkegaarden	Kirkegaarden	Assistens Kirkegård på Nørrebro, indviet 1760.	1857	1857	6	»At være eller ikke være«	32	1	v6:32 (1857)	medium	located	
Kirken	Kirken	Roskilde Domkirke. ¶ domkirken Sankt Veit, bygget i gotisk stil fra 1344 på stedet for en romansk kirke.	1842	1842	8 14	En Digters Bazar	574	2	v14:574 (1842); v8:505 ()	high	head-noun+place-type	
Kirsten Piil	Kirsten Piil(s) | Kirsten Piil	bondepige, som i 1500tallet opdagede en kilde i Dyrehaven. Omkring denne voksede Dyrehavsbakken op. ¶ if. traditionen navnet på den kvinde, der 1583 fandt den hellige kilde i Jægersborg Dyrehave. Kilden skal være istandsat 1732 af de to venner Brinchmann og Greve, der sandsynligvis har opdigtet navnet; »Kirsten« er kendt fra folkeviserne; tilnavnet »Pil« skal angive, at kvinden hørte til de folk, der ifølge folketroen kunne »vise vand«. Kendt som figur i Oehlenschlägers »Sanct Hansaften-Spil«, Digte, 1803.	1807	1807 1836	4 12	Lykkens Blomst	56	2	v12:56 (1807); v4:391 (1836)	medium	located+place-type	
Kirsten Piil … Tivoli	Kirsten Piil … Tivoli	if. et sagn opdagede en bondepige, Kirsten Piil, i 1500-tallet en kilde i Dyrehaven. Kilden blev i 1700-tallet et valfartssted; omkring det udviklede Dyrehavsbakkens forlystelser sig. Dyrehaven var, indtil Tivoli blev åbnet for offentligheden, forlystelsesattraktion nr. 1 for københavnerne.	1849	1849	12	Meer end Perler og Guld	489	1	v12:489 (1849)	medium	located+place-type	
Kizil Adalar	Prindse-Øerne	Kizil Adalar, øgruppe i Marmarahavet nær Istanbul bestående af 9 små øer.	1842	1842	14	En Digters Bazar	475	1	v14:475 (1842)	medium	located+place-type	
Kjæmpehøi … Achilles	Kjæmpehøi … Achilles	på sletten ved Troja findes flere gravhøje, som er blevet dyrket som høje for heltene fra den trojanske krig og især den dygtigste græske kriger, Achilleus.	1842	1842	14	En Digters Bazar	444	1	v14:444 (1842)	medium	located+place-type	
Kjøbmands Hafn	Kjøbmands Hafn	byen omtales i 1186 som Hafn; i 1253 som Køpmannæhafn.	1857	1857	6	»At være eller ikke være«	28	1	v6:28 (1857)	high	head-noun+place-type	
Kjøbsted	Kjøbsted	(dialekt) købstad.	1832	1832	16	Levnedsbog	161	1	v16:161 (1832)	high	head-noun+place-type	
Kladovo	Gladova	Kladovo; se kort.	1842	1842	14	En Digters Bazar	522	1	v14:522 (1842)	high	se-kort	
Klokkedybet	Klokkedybet	i »Bemærkninger«, 1868, skriver H.C. Andersen om klokkedybet: »Klokkedybet er udsprunget af Folketroen om Aamanden i Odense Aa og Sagnet om Kirkeklokken, der svang sig ud fra Albani Kirketaarn.« (denne udgave bind 3, s. 383). Sagnet kendes fra J.M. Thieles Danske Folkesagn, bind I, 1818, s. 29, hvor det dog er klokkerne i Skt. Knuds Kirke, der fløj, fordi man ringede for stærkt med dem. ¶ i »Bemærkninger«, 1868, skriver H.C. Andersen om klokkedybet: »Klokkedybet er udsprunget af Folketroen om Aamanden i Odense Aa og Sagnet om Kirkeklokken, der svang sig ud fra Albani Kirketaarn« (denne udgaves bind 3, s. 383). Sagnet kendes fra Thiele 1, 2, s. 29 f., hvor det dog er klokkerne i Skt. Knuds Kirke, der fløj, fordi man ringede for stærkt med dem.	1836	1836 1858	2 4	O. T.	587	2	v4:587 (1836); v2:239 (1858)	high	in-register	place-000004
Kloster Daphne	Kloster Daphne	Dafni-klosteret 10 km nordvest for Athen, grundlagt i 400-tallet, har navn efter de laurbærtræer som voksede i området. Klostret, som er bygget på resterne af en helligdom for Apollon, ødelagt 395, blev i 1500-tallet overtaget af græsk-ortodokse munke fra de cisterciensermunke, som havde beboet klostret siden 1200-tallet. Klosterkirken nævnes første gang 1263.	1842	1842	14	En Digters Bazar	399	1	v14:399 (1842)	medium	located+place-type	
Kloster Mølk ved Donau	Kloster Mølk ved Donau	benediktinerkloster grundlagt 1089 ved byen Melk 80 km vest for Wien på en klippe højt over floden; var hovedkvarter for Napoleon, da han indtog Wien i 1809.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	162	1	v17:162 (1855)	high	head-noun+place-type	
Kloster-Mölck	Kloster-Mölck	det store benediktinerkloster Melk fra 1089 ved Donau, siden ombygget i barokstil.	1837	1837	5	Kun en Spillemand	233	1	v5:233 (1837)	high	head-noun+place-type	
Klosterby	Klosterby	ca. 1150 anlagdes et benediktinerkloster i Sorø, af Absalon kort tid efter omdannet til cistercienserkloster.	1859	1859	2	Et Stykke Perlesnor	281	1	v2:281 (1859)	medium	located+place-type	
Klosteret	Klosteret	det gamle Augustinerkloster i Klosterneuburg. ¶ Klosteret, opført første gang på Det Kgl. Teater 1816.	1837	1837 1855	5 17	Kun en Spillemand	233	2	v5:233 (1837); v17:109 (1855)	high	head-noun+place-type+located	
Klosteret Pentelis	Klosteret Pentelis	Pendeli-klostret ca. 12 km fra Athens centrum, beliggende i Pendéli-bjergmassivet mellem Athen og Marathon i en højde på 366 m, det rigeste kloster i Attika, grundlagt 1587.	1842	1842	14	En Digters Bazar	421	1	v14:421 (1842)	medium	located+place-type	
Klosterkirken	Klosterkirken	middelalderkirke hørende til Slagelse Hospital (Slagelse Gammel Kloster), delvist nedrevet 1862. Erstattet af den nuværende Helligåndskirke.	1832	1832	16	Levnedsbog	102	1	v16:102 (1832)	high	head-noun+located+place-type	
Klublivet	Klubben	Klublivet, der havde sin oprindelse i England og var forbeholdt mænd, blomstrede fra slutningen af 1700-tallet; i begyndelsen var klubberne centre for ny borgerlig samfunds- og kulturdebat; senere fik mange klubber selskabelig karakter.	1865	1865	13	Da Spanierne var her	488	1	v13:488 (1865)	medium	located	
Knippelsbro	Knippelsbro	lidt nord for Langebro; forbandt Slotsholmen med Brogade på Christianshavn.	1864	1864	13	Paa Langebrovar tidligst anlagt et stykke nordligere end den nuværende Langebro; den lå i linje med byens vold i sydvest, i forlængelse af den nuværende Langebrogade på Christianshavn, og førte over Kalvebodsstrømmen til Christians Brygge.Langebro	389	1	v13:389 (1864)	medium	located+place-type	
Knivsholt, Flade Banker og Bangsbo	Knivsholt, Flade Banker og Bangsbo	Knivholt og Bangsbo er middelalderlige hovedgårde syd for Frederikshavn, oprettet henholdsvis 1419 og o. 1364 (nævnt første gang), mens Fladestrand (Flade Banker) var et fiskerleje oprindeligt underlagt de to hovedgårde.	1860	1860	15	Folkekalender for Danmark	187	1	v15:187 (1860)	medium	located+place-type	
Kobberporte	Kobberporte	ved Ørkild slotsbanke ved Svendborg.	1849	1849	5	De to Baronesser	322	1	v5:322 (1849)	medium	located+place-type	
Kolonnaden	Kolonnaden	søjlepartiet ved indkørslen til Amalienborg.	1849	1849	5	De to Baronesser	453	1	v5:453 (1849)	medium	located+place-type	
komme med en Følgesvend	komme med en Følgesvend	udtrykket bruges i visse kortspil om kort, der uden at passe til udspillet dog kan gives med.	1857	1857	6	»At være eller ikke være«	74	1	v6:74 (1857)	high	se-kort	
Komárno	Comorn	Komárno; se kort.	1842	1842	14	En Digters Bazar	560	1	v14:560 (1842)	high	se-kort	geo-3059436
Kongeborgen	Kongeborgen	Frederiksborg Slot i Nordsjælland, påbegyndt under Frederik 2. i 1560, men størstedelen af slottet blev opført under Christian 4. fra starten af 1600-tallet, på samme sted i slotssøen, hvor den middelalderlige herregård Hillerødsholm tidligere havde ligget.			8	(untitled)	322	1	v8:322 ()	high	head-noun+located+place-type	
Kongebyen	Kongebyen	København.			8	(untitled)	327	1	v8:327 ()	high	head-noun+place-type	
Kongen har … Graven	Kongen har … Graven	Valdemar blev begravet i Vordingborg 1375, men blev to år senere flyttet til Sorø.	1833	1833	7	Aarets tolv Maaneder, Tegnede med Blæk og Pen	429	1	v7:429 (1833)	medium	located+place-type	
Kongens Nytorv	Kongens Nytorv	før torvets anlæggelse var området, i daglig tale kaldet Hallandsaasen, sumpet og vanskeligt farbart.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	57	1	v17:57 (1855)	high	in-register	place-000062
Kongens Slot	Kongens Slot	det middelalderlige Københavns Slot, nedrevet 1730-1731 for at give plads til Christiansborg. ¶ kejserborgen blev bygget i 1100-tallet i sammenhæng med den ældre borggreveborg og ombygget frem til midten af 1500-tallet.	1842	1842 1870	3 14	En Digters Bazar	239	2	v14:239 (1842); v3:236 (1870)	high	located+place-type+head-noun	
Kongens Slot i Skoven	Kongens Slot i Skoven	Eremitageslottet i Dyrehaven ved København.			8	(untitled)	53	1	v8:53 ()	high	head-noun+place-type	
Kongeveien	Kongeveien	i 1795-1813 blev Nyborg landevej, der oprindelig blev ført ind i byen nord for Odense å, flyttet syd for åen.	1872	1872	3	Hvad gamle Johanne fortalte	307	1	v3:307 (1872)	medium	located+place-type	
Kopparberget	Kopparberget	(svensk) kobberbjerget. Navn på såvel området som malmminen i Falun. Se kort 1-2.	1851	1851	15	I Sverrig	91	1	v15:91 (1851)	high	se-kort+head-noun+place-type	
Korinth	Korinth	se kort.	1842	1842	14	En Digters Bazar	391	1	v14:391 (1842)	high	se-kort	
Korsnäs	Korsnæs	Korsnäs; se kort 2.	1851	1851	15	I Sverrig	93	1	v15:93 (1851)	high	se-kort	
kort efter … i den flyvende Post	kort efter … i den flyvende Post	»Det døende Barn« blev først trykt over i et år senere i Kjøbenhavns flyvende Post, nemlig i nr. 99, 12. december 1828, med den redaktionelle bemærkning: »Uagtet nærværende Digt allerede tilforn har været trykt i et andet Blad, saa gjør den flyvende Post sig dog en Fornøielse af at opbevare det i sit Archiv, og derved opfylde Forfatterens Ønske«.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	79	1	v17:79 (1855)	medium	located	
Kovin	Kubin	Kovin; se kort.	1842	1842	14	En Digters Bazar	543	1	v14:543 (1842)	high	se-kort	geo-789168
Krone … Hellige	Krone … Hellige	den såkaldte Stefanskrone blev ifølge traditionen givet år 1000 til István (Stefan) 1. den Hellige (ca. 975-1038, konge af Ungarn fra 1000) af Sylvester 2. (ca. 940-1003, pave fra 999) og er symbol på nationens enhed. Den bevarede krone består af komponenter fra 1000-tallet og senere tider, det øverste, bøjede kors er en senere tilføjelse, der enten var tiltænkt en anden placering el. er blevet beskadiget.	1842	1842	14	En Digters Bazar	555	1	v14:555 (1842)	medium	located	
Krudttaarnet	Krudttaarnet	kan være et af krudttårnene på Christianshavns Vold: tårnet i Charlotte Amalies Bastion (opf. 1744-1745 af C.E.D. von Oetken) eller tårnet i Enhjørningens Bastion (ca. 1750).	1864	1864	13	Paa Langebrovar tidligst anlagt et stykke nordligere end den nuværende Langebro; den lå i linje med byens vold i sydvest, i forlængelse af den nuværende Langebrogade på Christianshavn, og førte over Kalvebodsstrømmen til Christians Brygge.Langebro	389	1	v13:389 (1864)	medium	located+place-type	
Krönungs Berg	Krönungs Berg	efter tyrkernes besættelse af Buda flyttede Ungarns hovedstad 1536 til Bratislava, der også blev kroningsby.	1842	1842	14	En Digters Bazar	561	1	v14:561 (1842)	medium	located+place-type	
Kuhstall	Kuhstall	(tysk) kostald. Klippehulen er 11 m høj, 17 m bred og 24 m dyb.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	158	1	v14:158 (1831)	high	in-register	geo-2942244
Kullen	Kullen | Kullen(s)	halvø mellem Skälderviken og Øresund. ¶ Kullaberg på halvøen Kullen i Skåne, hvis højeste punkt (Håkull) er 188 m. ¶ halvø beliggende mellem Skälderviken og Øresund. ¶ halvø mellem Skälderviken på den svenske Kattegatkyst og Øresund.	1830	1830 1832 1842 1855	7 8 14 16 17	Digte	102	6	v7:102 (1830); v16:132 (1832); v14:573 (1842); v17:71 (1855); v17:302 (1855); v8:67 ()	high	in-register+head-noun+located+place-type	geo-2698848
Kuruçesme	Kurutscheme	Kuruçesme, landsby lidt nordøst for Istanbul, nu del af byen.	1842	1842	14	En Digters Bazar	491	1	v14:491 (1842)	medium	located+place-type	
Kværndrup	Qværndrup	Kværndrup, landsby nordvest for Svendborg.	1837	1837	5	Kun en Spillemand	16	1	v5:16 (1837)	medium	located+place-type	
Kärna	Kärna	(svensk) kerne. I midten af 1200-tallet lod Birger Jarl opføre et fæstningsværk på Stadsholmen (nuværende Gamla Stan), som blev til det senere Stockholms slott. I midten var et rundt tårn, som kaldtes Kärnan og senere Tre kronor.	1851	1851	15	I Sverrig	55	1	v15:55 (1851)	medium	located	
Königerode	Königerode	se kort.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	126	1	v14:126 (1831)	high	se-kort	
Königstein	Königstein	bjerg på 312 m. ¶ en middelalderfæstning i Sachsiske Schweiz, sydøst for Dresden.	1831	1831 1842	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	155	2	v14:155 (1831); v14:576 (1842)	high	in-register+head-noun+place-type	geo-2885764
Köthen	Cöthen	Köthen; se kort.	1842	1842	14	En Digters Bazar	234	1	v14:234 (1842)	high	se-kort	
Købmagergade	Kjøbmagergade	Købmagergade, sidegade til Østergade ved Amagertorv.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	46	1	v17:46 (1855)	high	head-noun+located+place-type	
Küstendje	Küstendje	byen Constan‚ta ved Sortehavets kyst, i det nuværende Rumænien; se kort.	1842	1842	14	En Digters Bazar	498	1	v14:498 (1842)	high	se-kort+head-noun+place-type	
L.C. Brinck-Seidelin	Brinck Seidelin	L.C. Brinck-Seidelin, konferensråd, var 1815-1845 amtsforvalter i Hjørring, stænderdeputeret og senere medlem af den grundlovgivende rigsforsamling.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	222	1	v18:222 (1869)	medium	located	
l’étang de Thau	l’étang de Thau	stor kystsø i Languedoc ved Middelhavet.	1846	1846	16	Mit eget Eventyr uden Digtning	327	1	v16:327 (1846)	medium	located+place-type	
La Carolina	la Carolina	La Carolina, se kort; byen er grundlagt af Karl 3. (1716-1788, konge fra 1759) i 1767-1770 som led i nybefolkningen af området i Sierra Morena, fortrinsvis med tyske indvandrere.	1863	1863	15	I Spanien	377	1	v15:377 (1863)	high	se-kort+head-noun+place-type	
La Junquera	la Junquera	La Junquera, se kort.	1863	1863	15	I Spanien	223	1	v15:223 (1863)	high	se-kort	
La Scala	La Scala | La scala	Milanos operahus, Teatro alla Scala.	1835	1835 1836 1855	4 17	Improvisatoren	348	3	v4:348 (1835); v4:587 (1836); v17:127 (1855)	high	in-register	geo-6949434
La Storta	La Storta	by nord for Rom. ¶ lille by ca. 8 km nordøst for Rom. ¶ sidste station på diligencerejsen til Rom, knap 30 km nord for Rom.	1842	1842 1855 1869	13 14 17	En Digters Bazar	293	3	v14:293 (1842); v17:134 (1855); v13:550 (1869)	high	in-register+head-noun+located+place-type	geo-3175075
La Torro del Oro	La Torro del Oro	El Torre del Oro, (spansk) guldtårnet; oprindeligt en del af fæstningsværket omkring Alcázar.	1863	1863	15	I Spanien	364	1	v15:364 (1863)	medium	located	
La Valettas Bugt	La Valettas Bugt	Grand Harbour ved Maltas hovedstad Valletta; se kort.	1842	1842	14	En Digters Bazar	361	1	v14:361 (1842)	high	se-kort+place-type	
laae Alt i Gruus	laae Alt i Gruus	slottet i Braunschweig (»Grauer Hof«) brændte under en mindre opstand i 1830 og blev herefter nedrevet. Et nyt residensslot, der stod færdigt i 1837, blev opført samme sted.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	93	1	v14:93 (1831)	high	head-noun+located+place-type	
laae paa Bakkehuset	laae paa Bakkehuset	fru Colbiørnsen og hendes døtre havde lejet sig ind i Bakkehuset for sommeren.	1832	1832	16	Levnedsbog	90	1	v16:90 (1832)	medium	located	
Lacedæmon	Lacedæmon	Sparta (se kort), hvis mytiske grundlægger var kong Lakedaimon, søn af Zeus og bjergnymfen Taygete.	1842	1842	14	En Digters Bazar	375	1	v14:375 (1842)	high	se-kort	
Lago di Perugia	Lago di Perugia	nu Lago Trasimeno; sø ca. 18 km vest for Perugia; se kort.	1842	1842	14	En Digters Bazar	286	1	v14:286 (1842)	high	se-kort+located+place-type	
Lago Maggiore	Lago Maggiore | Lago magiore	sø i Norditalien. ¶ Lago Maggiore; se kort. ¶ lang, smal sø i De Italienske Alper.	1836	1836 1855 1870	4 15 17	O. T.	624	3	v4:624 (1836); v17:127 (1855); v15:490 (1870)	high	in-register+head-noun+located+place-type+se-kort	geo-2659792
Land of brown heath … the flood!	Land of brown heath … the flood!	(engelsk) den brune hede og den uvejsomme skovs land, / bjergets og flodens land!; fra Walter Scotts The Lay of the Last Minstrel, 6. sang, 1805.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	54	1	v18:54 (1869)	high	head-noun+located+place-type	
Land … flood	Land … flood	(engelsk) den brune hede og den uvejsomme skovs land, / bjergets og flodens land!; citat fra The Lay of the Last Minstrel, 6. sang, 1805.	1849	1849	5	De to Baronesser	413	1	v5:413 (1849)	high	head-noun+place-type	
Landgrevinden	Landgrevinden	Charlotte af Hessen-Kassel. Hun var søster til Christian 8. og gift med landgreve Vilhelm af Hessen-Kassel. Hun døde 28. marts 1864 i København.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	275	1	v18:275 (1869)	medium	located	
Landsby	Landsby	Valby.	1836	1836	4	O. T.	401	1	v4:401 (1836)	high	head-noun+place-type	
Langelinie	Langelinie	før den nuværende promenade navnet på en spadseresti ved Kastelsvolden {E12-E13-D13}.	1838	1838	9	Tre Digtninger	311	1	v9:311 (1838)	medium	located+place-type	
Laokoon	Laokoon	antik skulptur af den trojanske præst Laokoon og hans to sønner, som på Apollons bud dræbes af slanger.	1835	1835 1839	4 7	Improvisatoren	132	2	v4:132 (1835); v7:550 (1839)	medium	located	
Lappland	Lapland(s)	Lappland; landskab i Nordsverige.	1851	1851	15	I Sverrig	22	1	v15:22 (1851)	high	head-noun+located+place-type	
Lauenburg	Lauenborg	Lauenburg; se kort.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	183	1	v14:183 (1831)	high	se-kort	geo-2880181
Laxegaden	Laxegaden	gade i indre København, hvor prostituerede holdt til.	1849	1849	12	Meer end Perler og Guld	471	1	v12:471 (1849)	high	head-noun+place-type	
Le Locle	Le Locle | Locle	schweizisk by, kendt som urmagerby, tæt på grænsen til Frankrig vest for Neuchâtel. ¶ Le Locle; lille bjergby, hvor H.C. Andersen boede hos urmager Jules Jürgensen fra 14. til 27. maj 1867. ¶ Le Locle, by i Jurabjergene lidt nordvest for Neuchâtel; se kort.	1836	1836 1869	4 8 15	O. T.	450	3	v4:450 (1836); v15:483 (1869); v8:379 ()	high	located+place-type+head-noun+se-kort	
Leckø gamle Slot	Leckø gamle Slot	Läckö slott på Kållandsö (se kort 2). Anlagt i slutningen af 1300-tallet og senere udbygget til et barokslot.	1851	1851	15	I Sverrig	25	1	v15:25 (1851)	high	se-kort+located	
Ledreborg	Lethraborg	Ledreborg, hovedgård ved Lejre.	1836	1836	4	O. T.	508	1	v4:508 (1836)	high	head-noun+located+place-type	
Leimbach	Leimbach	se kort.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	128	1	v14:128 (1831)	high	in-register+se-kort	geo-2879255
Leipzig	Leipzig	se kort. ¶ H.C. Andersen opholdt sig her 10.11. november 1840; se kort.	1842	1842	14	En Digters Bazar	214	3	v14:214 (1842); v14:235 (1842); v14:576 (1842)	high	in-register+se-kort	geo-2879139
Leksand	Leksand | Leksand(s)	se kort 2. ¶ by ved Siljansøen i Sverige.	1851	1851 1869	15 18	I Sverrig	85	2	v15:85 (1851); v18:315 (1869)	high	se-kort+head-noun+located+place-type	
Leopoldsslot	Leopoldsslot	slottet i Leopoldsberg.	1837	1837	5	Kun en Spillemand	233	1	v5:233 (1837)	high	head-noun+located+place-type	
Lethe	Lethe	i græsk mytologi en kilde el. biflod til Styx, dødsrigets flod; ved at drikke af Lethes vande glemmer den døde sit tidligere liv. ¶ i græsk mytologi en kilde eller biflod til Styx, dødsrigets flod; ved at drikke af Lethes vande glemmer den døde sit tidligere liv.	1829	1829 1830	7 9	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	245	2	v9:245 (1829); v7:79 (1830)	medium	located+place-type	
Libau i Cuurland	Libau i Cuurland	by beliggende i landskabet Kurland i det vestlige Letland. Kurland hørte i perioden 1795-1915 under Rusland, men blev dog styret af den lokale tyske adel. Først i 1918 blev Kurland en del af Letland.	1832	1832	16	Levnedsbog	139	1	v16:139 (1832)	high	head-noun+place-type	
Lidköping	Lidkøping	Lidköping; se kort 2.	1851	1851	15	I Sverrig	25	1	v15:25 (1851)	high	se-kort	
Liebau	Liebau	kystbyen Liepa¯ja i Letland.	1837	1837	5	Kun en Spillemand	154	1	v5:154 (1837)	high	head-noun+place-type	
Lilienstein	Lilienstein	bjerg på 415 m.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	155	1	v14:155 (1831)	high	in-register+head-noun+place-type	geo-982821
Lima	Lima	se kort 2.	1851	1851	15	I Sverrig	94	1	v15:94 (1851)	high	se-kort	
Linaa	Linaa	landsby øst for Silkeborg.	1857	1857	6	»At være eller ikke være«	43	1	v6:43 (1857)	high	head-noun+located+place-type	
Linieskib	Linieskib	»Prinds Christian Frederik« havde været stationeret i Norge og var derfor ikke blevet røvet af englænderne 1807. Skibet blev angrebet og ødelagt af to engelske orlogsskibe ved Sjællands Odde 22. marts 1808.	1865	1865	13	Da Spanierne var her	489	1	v13:489 (1865)	medium	located	
Linth-Canalen … Wallenstädtersøe	Linth-Canalen … Wallenstädtersøe	Linthkanal ved floden Weesen fører ud i Wallensee; se kort.	1858	1858	15	Fortællinger og Vers for Større og Mindre	153	1	v15:153 (1858)	high	se-kort+place-type	
Lissabon	Lissabon	Portugals hovedstad ved Atlanterhavskysten.	1868	1868	15	Et Besøg i Portugal 1866	428	1	v15:428 (1868)	medium	located+place-type	
Livorno	Livorno	kystby syd for Pisa; se kort. ¶ se kort. ¶ hvortil turen gik den 6. oktober med hjemkomst dagen efter.	1835	1835 1855 1861 1870	14 15 17	Søndagsblad. Et æsthetisk Ugeskrift	202	4	v14:202 (1835); v17:130 (1855); v15:216 (1861); v15:490 (1870)	high	in-register+se-kort+head-noun+located+place-type	geo-3174659
Livs og Lyksaligheds Ø	Livs og Lyksaligheds Ø	Ven i Øresund; Brahe havde øen i forlening 1576-1597 og fik her bygget renæssanceslottet Uraniborg med laboratorium og observatorier. 1658 overgik øen til Sverige.	1842	1842	14	En Digters Bazar	574	1	v14:574 (1842)	high	head-noun+place-type	
Lohmen	Lohmen	se kort.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	150	1	v14:150 (1831)	high	in-register+se-kort	geo-6548696
