place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Elbingerode	Elbingerode	se kort.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	112	1	v14:112 (1831)	high	in-register+se-kort	geo-2931245
Elche	Elche	byen passeredes den 23. september på veje til Murcia, hvor de blev til den 26.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	254	1	v18:254 (1869)	high	head-noun+place-type	
Elche Murcia	Elche (til) Murcia	se kort.	1863	1863	15	I Spanien	256	1	v15:256 (1863)	high	se-kort	
Elefsina	Eleusis	Elefsina, i oldtiden helligsted, centrum for de eleusinske mysterier (dyrkelsen af kornets gudinde Demeter), der gik tilbage til o.1500 f.Kr. og først blev nedlagt af den romerske kejser Theodosius 1. den Store (347-395, kejser fra 379) ca. 392 e.Kr.; se kort.	1842	1842	14	En Digters Bazar	399	1	v14:399 (1842)	high	se-kort	
Elfkarleby Fald	Elfkarleby Fald	Dalälvens nederste og største vandfald ved Älvkarleby (se kort 2), nu vandkraftværk.	1851	1851	15	I Sverrig	117	1	v15:117 (1851)	high	se-kort+located+place-type	
Ellora	Ellora	by i Indien, der er kendt for et kompleks af 34 templer, der er udhugget i klipperne i byens omegn.	1851	1851	15	I Sverrig	26	1	v15:26 (1851)	high	head-noun+located+place-type	
Elvedgaard	Elvedgaard	hovedgård nordvest for Odense.	1830	1830	1 7	Dödningen	52	2	v1:52 (1830); v7:143 (1830)	high	head-noun+located+place-type	
Emilies Kilde	Emilies Kilde	kilde ved Strandvejen syd for Klampenborg med mindesmærke over Emilie Schimmelmann, rejst 1780 af hendes mand, H.E. Schimmelmann; beskrevet af Pram i digtet Emilias Kilde, 1782.	1832	1832	7	Vignetter til danske Digtere	327	1	v7:327 (1832)	high	head-noun+located+place-type	
Ems	Ems	kurbyen Bad Ems nær ved Koblenz.			8	(untitled)	184	1	v8:184 ()	high	head-noun+place-type	
en By	en By	Ermoupoli (Ermupoli); se kort.	1842	1842	14	En Digters Bazar	378	1	v14:378 (1842)	high	se-kort	
